use_mup,learning_rate,embed_dim,depth,num_steps,loss
True,0.00027,256,2,10000,0.30873003602027893
True,0.00027,256,2,10000,0.3038230240345001
True,0.00081,256,2,10000,0.27551397681236267
True,0.00081,256,2,10000,0.27112889289855957
True,0.00243,256,2,10000,0.2697365880012512
True,0.00243,256,2,10000,0.2602139413356781
True,3e-05,256,2,10000,0.4889904260635376
True,0.00729,256,2,10000,0.27350664138793945
True,0.00729,256,2,10000,0.27779510617256165
True,3e-05,256,2,10000,0.5113314390182495
True,0.02187,256,2,10000,0.2866789698600769
True,9e-05,256,2,10000,0.3671867847442627
True,0.02187,256,2,10000,0.2865757942199707
True,9e-05,256,2,10000,0.37138375639915466
True,0.00027,1024,8,50000,0.19175708293914795
True,0.00027,1024,8,50000,0.1913084089756012
True,3e-05,1024,8,50000,0.2241622656583786
True,3e-05,1024,8,50000,0.22297686338424683
True,0.00081,1024,8,50000,0.18376949429512024
True,9e-05,1024,8,50000,0.20400133728981018
True,0.00081,1024,8,50000,0.18487600982189178
True,9e-05,1024,8,50000,0.20497828722000122
True,0.00243,1024,8,50000,0.183164581656456
True,0.00729,1024,8,50000,0.1906236857175827
True,0.00243,1024,8,50000,0.18384826183319092
True,0.00729,1024,8,50000,0.18569812178611755
True,0.02187,1024,8,50000,0.20379051566123962
True,0.02187,1024,8,50000,0.2014562040567398
