use_mup,learning_rate,embed_dim,depth,num_steps,loss
True,0.00027,256,2,10000,0.30873003602027893
True,0.00027,256,2,10000,0.3038230240345001
True,0.00081,256,2,10000,0.27551397681236267
True,0.00081,256,2,10000,0.27112889289855957
True,0.00243,256,2,10000,0.2697365880012512
True,0.00243,256,2,10000,0.2602139413356781
True,0.00027,1024,2,10000,0.2781933546066284
True,0.00027,1024,2,10000,0.27211958169937134
True,0.00081,1024,2,10000,0.25262314081192017
True,0.00081,1024,2,10000,0.25045764446258545
True,0.00027,256,4,10000,0.25577884912490845
True,0.00027,256,4,10000,0.2598595917224884
True,0.00081,256,4,10000,0.23979255557060242
True,0.00081,256,4,10000,0.23824648559093475
True,0.00243,1024,2,10000,0.23984870314598083
True,0.00243,1024,2,10000,0.24324177205562592
True,0.00243,256,4,10000,0.2322397232055664
True,0.00243,256,4,10000,0.23565170168876648
True,0.00027,512,2,10000,0.2897823452949524
True,0.00027,512,2,10000,0.28312960267066956
True,0.00081,512,2,10000,0.26326680183410645
True,0.00081,512,2,10000,0.25386136770248413
True,0.00243,512,2,10000,0.25666701793670654
True,0.00243,512,2,10000,0.24492111802101135
True,0.00027,256,2,50000,0.23376137018203735
True,0.00027,256,2,50000,0.23361873626708984
True,0.00243,256,2,50000,0.21444375813007355
True,0.00243,256,2,50000,0.21398381888866425
True,0.00081,256,2,50000,0.21638190746307373
True,0.00081,256,2,50000,0.21824710071086884
True,3e-05,256,2,10000,0.4889904260635376
True,0.00729,256,2,10000,0.27350664138793945
True,0.00729,256,2,10000,0.27779510617256165
True,3e-05,256,2,10000,0.5113314390182495
True,3e-05,512,2,10000,0.4775494337081909
True,0.00729,512,2,10000,0.2517523765563965
True,0.02187,256,2,10000,0.2866789698600769
True,9e-05,256,2,10000,0.3671867847442627
True,0.02187,256,2,10000,0.2865757942199707
True,9e-05,256,2,10000,0.37138375639915466
True,9e-05,512,2,10000,0.34374117851257324
True,0.02187,512,2,10000,0.2600826025009155
True,0.00729,1024,2,10000,0.24398648738861084
True,3e-05,1024,2,10000,0.47885745763778687
True,3e-05,512,2,10000,0.49447736144065857
True,0.00729,512,2,10000,0.2546731233596802
True,9e-05,512,2,10000,0.3534320592880249
True,0.02187,512,2,10000,0.2668989300727844
True,0.02187,1024,2,10000,0.24861064553260803
True,9e-05,1024,2,10000,0.3337864279747009
True,9e-05,256,4,10000,0.29307082295417786
True,9e-05,256,4,10000,0.2957202196121216
True,0.00729,256,4,10000,0.23697157204151154
True,0.00729,256,4,10000,0.23626942932605743
True,0.00729,1024,2,10000,0.2473505437374115
True,3e-05,1024,2,10000,0.4851894676685333
True,9e-05,256,2,50000,0.26014435291290283
True,9e-05,256,2,50000,0.2611807584762573
True,0.02187,1024,2,10000,0.2489473819732666
True,9e-05,1024,2,10000,0.3372441232204437
True,0.00729,256,2,50000,0.21495211124420166
True,0.00729,256,2,50000,0.21719029545783997
True,3e-05,256,4,10000,0.35045307874679565
True,3e-05,256,4,10000,0.35626980662345886
True,3e-05,256,2,50000,0.2945571839809418
True,3e-05,256,2,50000,0.3027096092700958
True,3e-05,256,2,25000,0.3582732081413269
True,3e-05,256,2,25000,0.3565574288368225
True,0.02187,256,4,10000,0.26041606068611145
True,0.02187,256,4,10000,0.25926870107650757
